Dates,Cycle Yes/No,Step Count
2021-09-24,0,12250.0
2021-09-25,0,9672.0
2021-09-26,0,9666.0
2021-09-27,0,12417.0
2021-09-28,0,4295.0
2021-09-29,0,5504.0
2021-09-30,0,8083.0
2021-10-01,0,5568.0
2021-10-02,0,9942.0
2021-10-03,0,7170.0
2021-10-04,1,5451.0
2021-10-05,1,872.0
2021-10-06,1,9041.0
2021-10-07,1,2745.0
2021-10-08,1,1688.0
2021-10-09,0,12182.0
2021-10-10,0,2365.0
2021-10-11,0,8537.0
2021-10-12,0,9627.0
2021-10-13,0,10760.0
2021-10-14,0,6769.0
2021-10-15,0,7351.0
2021-10-16,0,13894.0
2021-10-17,0,6724.0
2021-10-18,0,8432.0
2021-10-19,0,19791.0
2021-10-20,0,14005.0
2021-10-21,0,11352.0
2021-10-22,0,16639.0
2021-10-23,0,13858.0
2021-10-24,0,4215.0
2021-10-25,0,4666.0
2021-10-26,0,5980.0
2021-10-27,1,7384.0
2021-10-28,1,5748.0
2021-10-29,1,6589.0
2021-10-30,1,10119.0
2021-10-31,1,11725.0
2021-11-01,0,3616.0
2021-11-02,0,8030.0
2021-11-03,0,8654.0
2021-11-04,0,2595.0
2021-11-05,0,4478.0
2021-11-06,0,10148.0
2021-11-07,0,2271.0
2021-11-08,0,2644.0
2021-11-09,0,6286.0
2021-11-10,0,9681.0
2021-11-11,0,4426.0
2021-11-12,0,6144.0
2021-11-13,0,9377.0
2021-11-14,0,9249.0
2021-11-15,0,3678.0
2021-11-16,0,1972.0
2021-11-17,0,12303.0
2021-11-18,0,5387.0
2021-11-19,0,3423.0
2021-11-20,0,4535.0
2021-11-21,0,8710.0
2021-11-22,0,6574.0
2021-11-23,1,2143.0
2021-11-24,1,3177.0
2021-11-25,1,2569.0
2021-11-26,1,1966.0
2021-11-27,0,13383.0
2021-11-28,0,1302.0
2021-11-29,0,4258.0
2021-11-30,0,5384.0
2021-12-01,0,16480.0
2021-12-02,0,4206.0
2021-12-03,0,8929.0
2021-12-04,0,14652.0
2021-12-05,0,2679.0
2021-12-06,0,334.0
2021-12-07,0,387.0
2021-12-08,0,3931.0
2021-12-09,0,663.0
2021-12-10,0,364.0
2021-12-11,0,7420.0
2021-12-12,0,479.0
2021-12-13,0,4356.0
2021-12-14,0,2726.0
2021-12-15,0,13281.0
2021-12-16,0,3159.0
2021-12-17,0,6762.0
2021-12-18,0,4507.0
2021-12-19,0,4213.0
2021-12-20,0,4652.0
2021-12-21,0,1748.0
2021-12-22,1,8134.0
2021-12-23,1,1585.0
2021-12-24,1,2222.0
2021-12-25,1,14552.0
2021-12-26,1,6543.0
2021-12-27,0,6459.0
2021-12-28,0,4405.0
2021-12-29,0,3079.0
2021-12-30,0,6280.0
2021-12-31,0,970.29
2022-01-01,0,4603.0
2022-01-02,0,623.0
2022-01-03,0,110.0
2022-01-04,0,158.0
2022-01-05,0,214.0
2022-01-06,0,337.0
2022-01-07,0,9122.0
2022-01-08,0,2137.0
2022-01-09,0,348.95
2022-01-10,0,363.0
2022-01-11,0,549.0
2022-01-12,0,4154.0
2022-01-13,0,510.0
2022-01-14,0,6811.0
2022-01-15,0,2003.0
2022-01-16,0,1874.0
2022-01-17,0,282.0
2022-01-18,1,6428.0
2022-01-19,1,5879.0
2022-01-20,1,4547.0
2022-01-21,1,6287.0
2022-01-22,1,4344.0
2022-01-23,0,2477.0
2022-01-24,0,8773.0
2022-01-25,0,7602.0
2022-01-26,0,4953.0
2022-01-27,0,658.0
2022-01-28,0,4195.0
2022-01-29,0,6927.0
2022-01-30,0,682.23
2022-01-31,0,1492.0
2022-02-01,0,669.0
2022-02-02,0,564.0
2022-02-03,0,41.0
2022-02-04,0,1295.0
2022-02-05,0,56.0
2022-02-06,0,38.0
2022-02-07,0,36.0
2022-02-08,0,86.0
2022-02-09,0,67.0
2022-02-10,0,125.0
2022-02-11,0,160.0
2022-02-12,0,278.0
2022-02-13,0,1714.0
2022-02-14,0,1149.0
2022-02-15,0,1015.0
