Dates,Step Count
30.12.2022,10490
31.12.2022,6945
1.01.2023,6674
2.01.2023,4073
3.01.2023,3392
4.01.2023,3925
5.01.2023,4636
6.01.2023,2828
7.01.2023,1849
8.01.2023,3554
9.01.2023,5600
10.01.2023,1006
11.01.2023,2952
12.01.2023,2381
13.01.2023,4837
14.01.2023,2195
15.01.2023,2658
16.01.2023,4542
17.01.2023,2265
18.01.2023,1660
19.01.2023,1706
20.01.2023,4936
21.01.2023,8447
22.01.2023,7289
23.01.2023,4530
24.01.2023,4015
25.01.2023,3560
26.01.2023,2692
27.01.2023,1353
28.01.2023,3678
29.01.2023,3593
30.01.2023,8419
31.01.2023,2596
1.02.2023,1779
2.02.2023,4783
3.02.2023,2093
4.02.2023,2841
5.02.2023,1646
6.02.2023,1641
7.02.2023,1080
8.02.2023,2321
9.02.2023,6835
10.02.2023,8430
11.02.2023,3816
12.02.2023,2542
13.02.2023,1296
14.02.2023,7760
15.02.2023,1943
16.02.2023,4354
17.02.2023,1477
18.02.2023,3369
19.02.2023,5936
20.02.2023,2541
21.02.2023,1809
22.02.2023,2264
23.02.2023,2303
24.02.2023,1475
25.02.2023,7960
26.02.2023,5115
27.02.2023,3479
28.02.2023,1258
1.03.2023,295
2.03.2023,2505
3.03.2023,5290
4.03.2023,6304
5.03.2023,2134
6.03.2023,2389
7.03.2023,1988
8.03.2023,3363
9.03.2023,2171
10.03.2023,2717
11.03.2023,1674
12.03.2023,3360
13.03.2023,4631
14.03.2023,3651
15.03.2023,1565
16.03.2023,1326
17.03.2023,2366
18.03.2023,3476
19.03.2023,6109
20.03.2023,4562
21.03.2023,3011
22.03.2023,2070
23.03.2023,2358
24.03.2023,2887
25.03.2023,4396
26.03.2023,632
27.03.2023,2030
28.03.2023,2182
29.03.2023,836
30.03.2023,1739
31.03.2023,1345
1.04.2023,811
2.04.2023,3171
3.04.2023,3445
4.04.2023,1489
5.04.2023,2268
6.04.2023,5273
7.04.2023,4129
8.04.2023,6673
9.04.2023,2261
10.04.2023,346
11.04.2023,316
12.04.2023,495
13.04.2023,1972
14.04.2023,2779
15.04.2023,3813
16.04.2023,2302
17.04.2023,2989
18.04.2023,333
19.04.2023,4366
20.04.2023,4341
21.04.2023,3119
22.04.2023,1353
23.04.2023,6608
24.04.2023,2973
25.04.2023,1868
26.04.2023,1582
27.04.2023,320
28.04.2023,2927
29.04.2023,1487
30.04.2023,1466
1.05.2023,1165
2.05.2023,478
3.05.2023,2136
4.05.2023,1011
5.05.2023,2026
6.05.2023,669
7.05.2023,2810
8.05.2023,6077
9.05.2023,4225
10.05.2023,7741
11.05.2023,2779
12.05.2023,2813
13.05.2023,17179
14.05.2023,2235
15.05.2023,776
16.05.2023,5976
17.05.2023,5802
18.05.2023,1262
19.05.2023,3288
20.05.2023,5874
21.05.2023,1275
22.05.2023,2403
23.05.2023,2007
24.05.2023,5092
25.05.2023,2234
26.05.2023,4255
27.05.2023,5161
28.05.2023,6077
29.05.2023,1689
30.05.2023,5067
31.05.2023,3359
1.06.2023,3507
2.06.2023,5195
3.06.2023,1846
4.06.2023,2248
5.06.2023,7562
6.06.2023,7492
7.06.2023,7325
8.06.2023,6557
9.06.2023,8669
10.06.2023,2561
11.06.2023,3368
12.06.2023,6306
13.06.2023,3899
14.06.2023,1360
15.06.2023,1293
16.06.2023,1258
17.06.2023,2167
18.06.2023,711.97
19.06.2023,1762
20.06.2023,6263
21.06.2023,5838
22.06.2023,5069
23.06.2023,2738
24.06.2023,5922
25.06.2023,2797
26.06.2023,3141
27.06.2023,2973
28.06.2023,1822
29.06.2023,4014
30.06.2023,1144
1.07.2023,2002
2.07.2023,6717
3.07.2023,1632
4.07.2023,3175
5.07.2023,3029
6.07.2023,4340
7.07.2023,3018
8.07.2023,4062
9.07.2023,3113
10.07.2023,3394
11.07.2023,3012
12.07.2023,2777
13.07.2023,2483
14.07.2023,4732
15.07.2023,3933
16.07.2023,3670
17.07.2023,2278
18.07.2023,3817
19.07.2023,6496
20.07.2023,4748
21.07.2023,3893
22.07.2023,2825
23.07.2023,2331
24.07.2023,3534
25.07.2023,2466
26.07.2023,3591
27.07.2023,1797
28.07.2023,2157
29.07.2023,3565
30.07.2023,961
31.07.2023,2001
1.08.2023,572
2.08.2023,202
3.08.2023,204
4.08.2023,1989
5.08.2023,270
6.08.2023,421
7.08.2023,3667
8.08.2023,1769
9.08.2023,2138
10.08.2023,3764
11.08.2023,7408
12.08.2023,2663
13.08.2023,1750
14.08.2023,1011
15.08.2023,3010
16.08.2023,9078
17.08.2023,1948
18.08.2023,563
19.08.2023,4612
20.08.2023,2425
21.08.2023,1599
22.08.2023,736
23.08.2023,573.01
24.08.2023,3846
25.08.2023,942
26.08.2023,3620
27.08.2023,3455
28.08.2023,1179
29.08.2023,3378
30.08.2023,4970
31.08.2023,862
1.09.2023,5159
2.09.2023,1730
3.09.2023,1226
4.09.2023,4529
5.09.2023,2586
6.09.2023,2939
7.09.2023,1231
8.09.2023,2844
9.09.2023,3192
10.09.2023,1188
11.09.2023,635
12.09.2023,302
13.09.2023,919
14.09.2023,149
15.09.2023,2143
16.09.2023,3008
17.09.2023,1829
18.09.2023,6863
19.09.2023,1664
20.09.2023,2338
21.09.2023,7140
22.09.2023,3834
23.09.2023,2933
24.09.2023,5210
25.09.2023,5456
26.09.2023,3082
27.09.2023,3532
28.09.2023,4051
29.09.2023,3787
30.09.2023,5676
1.10.2023,2565
2.10.2023,5610
3.10.2023,4895
4.10.2023,4208
5.10.2023,5014
6.10.2023,8611
7.10.2023,9590
8.10.2023,2607
9.10.2023,5530
10.10.2023,6559
11.10.2023,3885
12.10.2023,6113
13.10.2023,6588
14.10.2023,2422
15.10.2023,1834
16.10.2023,4823
17.10.2023,8560
18.10.2023,4530
19.10.2023,6286
20.10.2023,7077
21.10.2023,1400
22.10.2023,3961
23.10.2023,9364
24.10.2023,5419
25.10.2023,4581
26.10.2023,8089
27.10.2023,7243
28.10.2023,3477
29.10.2023,2005
30.10.2023,7386
31.10.2023,6623
1.11.2023,3868
2.11.2023,7911
3.11.2023,6756
4.11.2023,3900
5.11.2023,787
6.11.2023,6460
7.11.2023,7149
8.11.2023,6655
9.11.2023,4930
10.11.2023,6764
11.11.2023,4179
12.11.2023,5012
13.11.2023,4055
14.11.2023,8549
15.11.2023,3229
16.11.2023,10019
17.11.2023,3833
18.11.2023,4184
19.11.2023,2534
20.11.2023,3990
21.11.2023,5447
22.11.2023,3572
23.11.2023,7586
